,Character,Attribute,Values
1416,Sona,Crit. damage,175%
1417,Sona,Move. speed,325
1418,Sona,Attack range,550
1419,Sona,Base AS,0.644
1420,Sona,Bonus AS,23
1421,Soraka,Health,535 - 1793.0
1422,Soraka,Mana,425 - 1105.0
1423,Soraka,Health regen.,25 - 110.0
1424,Soraka,Mana regen.,115 - 183.0
1425,Soraka,Armor,32 - 678.0
1426,Soraka,Attack damage,50 - 101.0
1427,Soraka,Magic resist.,30 - 115.0
1428,Soraka,Crit. damage,175%
1429,Soraka,Move. speed,325
1430,Soraka,Attack range,550
1431,Soraka,Base AS,0.625
1432,Soraka,Bonus AS,214
1433,Swain,Health,525 - 1970.0
1434,Swain,Mana,468 - 5313.0
1435,Swain,Health regen.,7 - 1112.0
1436,Swain,Mana regen.,8 - 144.0
1437,Swain,Armor,23 - 91.0
1438,Swain,Attack damage,58 - 517.0
1439,Swain,Magic resist.,30 - 115.0
1440,Swain,Crit. damage,175%
1441,Swain,Move. speed,325
1442,Swain,Attack range,525
1443,Swain,Base AS,0.625
1444,Swain,Bonus AS,211
1445,Sylas,Health,525 - 2480.0
1446,Sylas,Mana,280 - 1470.0
1447,Sylas,Health regen.,9 - 162.0
1448,Sylas,Mana regen.,7 - 143.0
1449,Sylas,Armor,27 - 95.0
1450,Sylas,Attack damage,61 - 112.0
1451,Sylas,Magic resist.,32 - 3007.0
1452,Sylas,Crit. damage,175%
1453,Sylas,Move. speed,340
1454,Sylas,Attack range,175
1455,Sylas,Base AS,0.645
1456,Sylas,Bonus AS,35
1457,Syndra,Health,523 - 2053.0
1458,Syndra,Mana,480 - 1160.0
1459,Syndra,Health regen.,65 - 167.0
1460,Syndra,Mana regen.,8 - 144.0
1461,Syndra,Armor,25 - 603.0
1462,Syndra,Attack damage,54 - 547.0
1463,Syndra,Magic resist.,30 - 115.0
1464,Syndra,Crit. damage,175%
1465,Syndra,Move. speed,330
1466,Syndra,Attack range,550
1467,Syndra,Base AS,0.625
1468,Syndra,Bonus AS,2
1469,Tahm_Kench,Health,600 - 2300.0
1470,Tahm_Kench,Mana,325 - 1005.0
1471,Tahm_Kench,Health regen.,65 - 1000.0
1472,Tahm_Kench,Mana regen.,8 - 25.0
1473,Tahm_Kench,Armor,47 - 642.0
1474,Tahm_Kench,Attack damage,56 - 600.0
1475,Tahm_Kench,Magic resist.,32 - 2157.0
1476,Tahm_Kench,Crit. damage,175%
1477,Tahm_Kench,Move. speed,335
1478,Tahm_Kench,Attack range,175
1479,Tahm_Kench,Base AS,0.658
1480,Tahm_Kench,Bonus AS,25
1481,Taliyah,Health,532 - 2062.0
1482,Taliyah,Mana,425 - 935.0
1483,Taliyah,Health regen.,7 - 126.0
1484,Taliyah,Mana regen.,9335 - 10780.0
1485,Taliyah,Armor,20 - 615.0
1486,Taliyah,Attack damage,58 - 619.0
1487,Taliyah,Magic resist.,30 - 115.0
1488,Taliyah,Crit. damage,175%
1489,Taliyah,Move. speed,335
1490,Taliyah,Attack range,525
1491,Taliyah,Base AS,0.625
1492,Taliyah,Bonus AS,136
1493,Talon,Health,588 - 2203.0
1494,Talon,Mana,3772 - 4401.0
1495,Talon,Health regen.,85 - 1360.0
1496,Talon,Mana regen.,76 - 212.0
1497,Talon,Armor,30 - 625.0
1498,Talon,Attack damage,68 - 595.0
1499,Talon,Magic resist.,39 - 2164.0
1500,Talon,Crit. damage,175%
1501,Talon,Move. speed,335
1502,Talon,Attack range,125
1503,Talon,Base AS,0.625
1504,Talon,Bonus AS,29
1505,Taric,Health,575 - 2020.0
1506,Taric,Mana,300 - 1320.0
1507,Taric,Health regen.,6 - 91.0
1508,Taric,Mana regen.,85 - 221.0
1509,Taric,Armor,40 - 618.0
1510,Taric,Attack damage,55 - 650.0
1511,Taric,Magic resist.,32 - 2157.0
1512,Taric,Crit. damage,175%
1513,Taric,Move. speed,340
1514,Taric,Attack range,150
1515,Taric,Base AS,0.625
1516,Taric,Bonus AS,2
1517,Teemo,Health,528 - 2058.0
1518,Teemo,Mana,334 - 674.0
1519,Teemo,Health regen.,55 - 1160.0
1520,Teemo,Mana regen.,96 - 861.0
1521,Teemo,Armor,24 - 6399.0
1522,Teemo,Attack damage,54 - 105.0
1523,Teemo,Magic resist.,30 - 115.0
1524,Teemo,Crit. damage,175%
1525,Teemo,Move. speed,330
1526,Teemo,Attack range,500
1527,Teemo,Base AS,0.69
1528,Teemo,Bonus AS,338
1529,Thresh,Health,561 - 2142.0
1530,Thresh,Mana,27392 - 28140.0
1531,Thresh,Health regen.,7 - 942.0
1532,Thresh,Mana regen.,6 - 142.0
1533,Thresh,Armor,28 - 28.0
1534,Thresh,Attack damage,56 - 430.0
1535,Thresh,Magic resist.,30 - 115.0
1536,Thresh,Crit. damage,175%
1537,Thresh,Move. speed,335
1538,Thresh,Attack range,450
1539,Thresh,Base AS,0.625
1540,Thresh,Bonus AS,35
1541,Thresh,Missile speed,Non-projectile
1542,Tristana,Health,559 - 2055.0
1543,Tristana,Mana,250 - 794.0
1544,Tristana,Health regen.,375 - 1480.0
1545,Tristana,Mana regen.,72 - 837.0
1546,Tristana,Armor,26 - 77.0
1547,Tristana,Attack damage,61 - 622.0
1548,Tristana,Magic resist.,30 - 115.0
1549,Tristana,Crit. damage,175%
1550,Tristana,Move. speed,325
1551,Tristana,Attack range,525
1552,Tristana,Base AS,0.656
1553,Tristana,Bonus AS,15
1554,Trundle,Health,616 - 2248.0
1555,Trundle,Mana,281 - 1046.0
1556,Trundle,Health regen.,6 - 1281.0
1557,Trundle,Mana regen.,75 - 177.0
1558,Trundle,Armor,37 - 496.0
1559,Trundle,Attack damage,68 - 119.0
1560,Trundle,Magic resist.,32 - 2157.0
1561,Trundle,Crit. damage,175%
1562,Trundle,Move. speed,350
1563,Trundle,Attack range,175
1564,Trundle,Base AS,0.67
1565,Trundle,Bonus AS,29
1566,Tryndamere,Health,626 - 2292.0
1567,Tryndamere,Health regen.,85 - 238.0
1568,Tryndamere,Secondary BarFury, Fury
1569,Tryndamere,Armor,33 - 560.0
1570,Tryndamere,Attack damage,72 - 701.0
1571,Tryndamere,Magic resist.,32 - 2157.0
1572,Tryndamere,Crit. damage,175%
1573,Tryndamere,Move. speed,345
1574,Tryndamere,Attack range,125
1575,Tryndamere,Base AS,0.67
1576,Tryndamere,Bonus AS,29
1577,Twisted_Fate,Health,534 - 2132.0
1578,Twisted_Fate,Mana,333 - 996.0
1579,Twisted_Fate,Health regen.,55 - 157.0
1580,Twisted_Fate,Mana regen.,8 - 144.0
1581,Twisted_Fate,Armor,21 - 5376.0
1582,Twisted_Fate,Attack damage,52 - 613.0
1583,Twisted_Fate,Magic resist.,30 - 115.0
1584,Twisted_Fate,Crit. damage,175%
1585,Twisted_Fate,Move. speed,330
1586,Twisted_Fate,Attack range,525
1587,Twisted_Fate,Base AS,0.651
1588,Twisted_Fate,Bonus AS,322
1589,Twitch,Health,612 - 2074.0
1590,Twitch,Mana,2872 - 3552.0
1591,Twitch,Health regen.,375 - 477.0
1592,Twitch,Mana regen.,7256 - 8021.0
1593,Twitch,Armor,27 - 78.0
1594,Twitch,Attack damage,59 - 5346.0
1595,Twitch,Magic resist.,30 - 115.0
1596,Twitch,Crit. damage,175%
1597,Twitch,Move. speed,330
1598,Twitch,Attack range,550
1599,Twitch,Base AS,0.679
1600,Twitch,Bonus AS,338
1601,Udyr,Health,594 - 2158.0
1602,Udyr,Mana,271 - 1121.0
1603,Udyr,Health regen.,6 - 1281.0
1604,Udyr,Mana regen.,75 - 840.0
1605,Udyr,Armor,34 - 102.0
1606,Udyr,Attack damage,66 - 151.0
1607,Udyr,Magic resist.,32 - 2157.0
1608,Udyr,Crit. damage,175%
1609,Udyr,Move. speed,350
1610,Udyr,Attack range,125
1611,Udyr,Base AS,0.658
1612,Udyr,Bonus AS,267
1613,Urgot,Health,585 - 2081.0
1614,Urgot,Mana,340 - 1105.0
1615,Urgot,Health regen.,75 - 194.0
1616,Urgot,Mana regen.,725 - 861.0
1617,Urgot,Armor,36 - 7261.0
1618,Urgot,Attack damage,63 - 131.0
1619,Urgot,Magic resist.,32 - 2157.0
1620,Urgot,Crit. damage,175%
1621,Urgot,Move. speed,330
1622,Urgot,Attack range,350
1623,Urgot,Base AS,0.625
1624,Urgot,Bonus AS,375
1625,Urgot,PhysicalTrue, Physical True
1626,Varus,Health,530 - 2077.0
1627,Varus,Mana,360 - 1040.0
1628,Varus,Health regen.,35 - 970.0
1629,Varus,Mana regen.,8 - 144.0
1630,Varus,Armor,27 - 605.0
1631,Varus,Attack damage,61 - 112.0
1632,Varus,Magic resist.,30 - 115.0
1633,Varus,Crit. damage,175%
1634,Varus,Move. speed,330
1635,Varus,Attack range,575
1636,Varus,Base AS,0.658
1637,Varus,Bonus AS,4
1638,Vayne,Health,515 - 2028.0
1639,Vayne,Mana,2318 - 2913.0
1640,Vayne,Health regen.,35 - 970.0
1641,Vayne,Mana regen.,6972 - 7040.0
1642,Vayne,Armor,23 - 601.0
1643,Vayne,Attack damage,60 - 4072.0
1644,Vayne,Magic resist.,30 - 115.0
1645,Vayne,Crit. damage,175%
1646,Vayne,Move. speed,330
1647,Vayne,Attack range,550
1648,Vayne,Base AS,0.658
1649,Vayne,Bonus AS,33
1650,Veigar,Health,505 - 2103.0
1651,Veigar,Mana,490 - 932.0
1652,Veigar,Health regen.,65 - 167.0
1653,Veigar,Mana regen.,8 - 144.0
1654,Veigar,Armor,23 - 6398.0
1655,Veigar,Attack damage,52 - 511.0
1656,Veigar,Magic resist.,32 - 117.0
1657,Veigar,Crit. damage,175%
1658,Veigar,Move. speed,340
1659,Veigar,Attack range,550
1660,Veigar,Base AS,0.625
1661,Veigar,Bonus AS,224
1662,Vel%27Koz,Health,520 - 2016.0
1663,Vel%27Koz,Mana,469 - 826.0
1664,Vel%27Koz,Health regen.,55 - 990.0
1665,Vel%27Koz,Mana regen.,8 - 144.0
1666,Vel%27Koz,Armor,22 - 617.0
1667,Vel%27Koz,Attack damage,55 - 534070814.0
1668,Vel%27Koz,Magic resist.,30 - 115.0
1669,Vel%27Koz,Crit. damage,175%
1670,Vel%27Koz,Move. speed,340
1671,Vel%27Koz,Attack range,525
1672,Vel%27Koz,Base AS,0.625
1673,Vel%27Koz,Bonus AS,136
1674,Vel%27Koz,Missile speed,Non-projectile
1675,Vel%27Koz,MagicTrue, MagicMagic TrueTrue
1676,Vi,Health,585 - 2030.0
1677,Vi,Mana,295 - 1400.0
1678,Vi,Health regen.,10 - 27.0
1679,Vi,Mana regen.,8 - 1113.0
1680,Vi,Armor,30 - 98.0
1681,Vi,Attack damage,63 - 658.0
1682,Vi,Magic resist.,32 - 2157.0
1683,Vi,Crit. damage,175%
1684,Vi,Move. speed,340
1685,Vi,Attack range,125
1686,Vi,Base AS,0.644
1687,Vi,Bonus AS,2
1688,Viego,Health,560 - 2175.0
1689,Viego,Health regen.,8 - 127.0
1690,Viego,Armor,34 - 102.0
1691,Viego,Attack damage,57 - 652.0
1692,Viego,Magic resist.,32 - 2157.0
1693,Viego,Crit. damage,175%
1694,Viego,Move. speed,345
1695,Viego,Attack range,225
1696,Viego,Base AS,0.658
1697,Viego,Bonus AS,25
1698,Viktor,Health,530 - 2060.0
1699,Viktor,Mana,405 - 1170.0
1700,Viktor,Health regen.,8 - 1113.0
1701,Viktor,Mana regen.,8 - 144.0
1702,Viktor,Armor,23 - 91.0
1703,Viktor,Attack damage,53 - 104.0
1704,Viktor,Magic resist.,30 - 115.0
1705,Viktor,Crit. damage,175%
1706,Viktor,Move. speed,335
1707,Viktor,Attack range,525
1708,Viktor,Base AS,0.658
1709,Viktor,Bonus AS,211
1710,Vladimir,Health,537 - 2169.0
1711,Vladimir,Health regen.,7 - 109.0
1712,Vladimir,Secondary BarBloodthirst, Bloodthirst
1713,Vladimir,Armor,23 - 584.0
1714,Vladimir,Attack damage,55 - 106.0
1715,Vladimir,Magic resist.,30 - 115.0
1716,Vladimir,Crit. damage,175%
1717,Vladimir,Move. speed,330
1718,Vladimir,Attack range,450
1719,Vladimir,Base AS,0.658
1720,Vladimir,Bonus AS,2
1721,Volibear,Health,580 - 2110.0
1722,Volibear,Mana,350 - 1540.0
1723,Volibear,Health regen.,9 - 1284.0
1724,Volibear,Mana regen.,625 - 710.0
1725,Volibear,Armor,31 - 99.0
1726,Volibear,Attack damage,60 - 111.0
1727,Volibear,Magic resist.,32 - 2157.0
1728,Volibear,Crit. damage,175%
1729,Volibear,Move. speed,340
1730,Volibear,Attack range,150
1731,Volibear,Base AS,0.625
1732,Volibear,Bonus AS,2
1733,Warwick,Health,550 - 1995.0
1734,Warwick,Mana,280 - 875.0
1735,Warwick,Health regen.,4 - 1279.0
1736,Warwick,Mana regen.,7465 - 17240.0
1737,Warwick,Armor,33 - 577.0
1738,Warwick,Attack damage,65 - 116.0
1739,Warwick,Magic resist.,32 - 2157.0
1740,Warwick,Crit. damage,175%
1741,Warwick,Move. speed,335
1742,Warwick,Attack range,125
1743,Warwick,Base AS,0.638
1744,Warwick,Bonus AS,23
1745,Wukong,Health,540 - 1985.0
1746,Wukong,Mana,300 - 1405.0
1747,Wukong,Health regen.,4 - 1109.0
1748,Wukong,Mana regen.,8 - 1113.0
1749,Wukong,Armor,31 - 626.0
1750,Wukong,Attack damage,68 - 136.0
1751,Wukong,Magic resist.,28 - 2153.0
1752,Wukong,Crit. damage,175%
1753,Wukong,Move. speed,345
1754,Wukong,Attack range,175
1755,Wukong,Base AS,0.711
1756,Wukong,Bonus AS,3
1757,Wukong,Attack speed,100% of Wukong's
1758,Wukong,Range,"

175
"
1759,Wukong,Mov. speed,"

Static
"
1760,Xayah,Health,590 - 2086.0
1761,Xayah,Mana,340 - 1020.0
1762,Xayah,Health regen.,325 - 1600.0
1763,Xayah,Mana regen.,825 - 2100.0
1764,Xayah,Armor,25 - 76.0
1765,Xayah,Attack damage,60 - 655.0
1766,Xayah,Magic resist.,30 - 115.0
1767,Xayah,Crit. damage,175%
1768,Xayah,Move. speed,325
1769,Xayah,Attack range,525
1770,Xayah,Base AS,0.625
1771,Xayah,Bonus AS,39
1772,Xerath,Health,526 - 2090.0
1773,Xerath,Mana,459 - 833.0
1774,Xerath,Health regen.,55 - 990.0
1775,Xerath,Mana regen.,8 - 144.0
1776,Xerath,Armor,22 - 617.0
1777,Xerath,Attack damage,55 - 106.0
1778,Xerath,Magic resist.,30 - 115.0
1779,Xerath,Crit. damage,175%
1780,Xerath,Move. speed,340
1781,Xerath,Attack range,525
1782,Xerath,Base AS,0.625
1783,Xerath,Bonus AS,136
1784,Xin_Zhao,Health,570 - 2134.0
1785,Xin_Zhao,Mana,2738 - 3673.0
1786,Xin_Zhao,Health regen.,8 - 127.0
1787,Xin_Zhao,Mana regen.,7256 - 8021.0
1788,Xin_Zhao,Armor,35 - 630.0
1789,Xin_Zhao,Attack damage,66 - 117.0
1790,Xin_Zhao,Magic resist.,32 - 2157.0
1791,Xin_Zhao,Crit. damage,175%
1792,Xin_Zhao,Move. speed,345
1793,Xin_Zhao,Attack range,175
1794,Xin_Zhao,Base AS,0.645
1795,Xin_Zhao,Bonus AS,35
1796,Yasuo,Health,490 - 1969.0
1797,Yasuo,Health regen.,65 - 218.0
1798,Yasuo,Secondary BarFlow, Flow
1799,Yasuo,Armor,30 - 608.0
1800,Yasuo,Attack damage,60 - 434.0
1801,Yasuo,Magic resist.,32 - 2157.0
1802,Yasuo,Crit. damage, 175% ( ×  0.9)
1803,Yasuo,Move. speed,345
1804,Yasuo,Attack range,175
1805,Yasuo,Base AS,0.697
1806,Yasuo,Bonus AS,35
1807,Yone,Health,550 - 1995.0
1808,Yone,Health regen.,75 - 1350.0
1809,Yone,Armor,28 - 606.0
1810,Yone,Attack damage,60 - 94.0
1811,Yone,Magic resist.,32 - 2157.0
1812,Yone,Crit. damage, 175% ( ×  0.9)
1813,Yone,Move. speed,345
1814,Yone,Attack range,175
1815,Yone,Base AS,0.625
1816,Yone,Bonus AS,35
1817,Yone,PhysicalMagic, Physical Magic
1818,Yorick,Health,580 - 2280.0
1819,Yorick,Mana,300 - 1320.0
1820,Yorick,Health regen.,8 - 144.0
1821,Yorick,Mana regen.,75 - 1350.0
1822,Yorick,Armor,39 - 107.0
1823,Yorick,Attack damage,62 - 147.0
1824,Yorick,Magic resist.,32 - 2157.0
1825,Yorick,Crit. damage,175%
1826,Yorick,Move. speed,340
1827,Yorick,Attack range,175
1828,Yorick,Base AS,0.625
1829,Yorick,Bonus AS,2
1830,Yorick,Attack speed,0.5 − 1.18 (based on level)0.5 − 1.18 (based on level)
1831,Yorick,Range,"

125
"
1832,Yorick,Magic res.,"

0
"
1833,Yorick,Mov. speed,near
1834,Yorick,Magic damage,01040 - 1890.0
1835,Yuumi,Health,480 - 1670.0
1836,Yuumi,Mana,400 - 1165.0
1837,Yuumi,Health regen.,7 - 942.0
1838,Yuumi,Mana regen.,10 - 78.0
1839,Yuumi,Armor,25 - 76.0
1840,Yuumi,Attack damage,55 - 582.0
1841,Yuumi,Crit. damage,175%
1842,Yuumi,Move. speed,330
1843,Yuumi,Attack range,500
1844,Yuumi,Base AS,0.625
1845,Yuumi,Bonus AS,1
1846,Zac,Health,615 - 2230.0
1847,Zac,Health regen.,8 - 93.0
1848,Zac,Armor,33 - 628.0
1849,Zac,Attack damage,60 - 638.0
1850,Zac,Magic resist.,32 - 2157.0
1851,Zac,Crit. damage,175%
1852,Zac,Move. speed,340
1853,Zac,Attack range,175
1854,Zac,Base AS,0.736
1855,Zac,Bonus AS,16
1856,Zac,Magic res.,50% of Zac's
1857,Zac,AoE resist.,"

33%
"
1858,Zac,CC resist.Immune to all crowd controlstasis, Immune to all crowd control stasis
1859,Zac,Mov. speed,Variable
1860,Zed,Health,584 - 2029.0
1861,Zed,Energy,200 - 200.0
1862,Zed,Health regen.,7 - 1112.0
1863,Zed,Energy regen.,50
1864,Zed,Armor,32 - 627.0
1865,Zed,Attack damage,63 - 641.0
1866,Zed,Magic resist.,32 - 2157.0
1867,Zed,Crit. damage,175%
1868,Zed,Move. speed,345
1869,Zed,Attack range,125
1870,Zed,Base AS,0.651
1871,Zed,Bonus AS,33
1872,Ziggs,Health,536 - 2100.0
1873,Ziggs,Mana,480 - 4475.0
1874,Ziggs,Health regen.,65 - 167.0
1875,Ziggs,Mana regen.,8 - 144.0
1876,Ziggs,Armor,22 - 583.0
1877,Ziggs,Attack damage,54 - 581.0
1878,Ziggs,Magic resist.,30 - 115.0
1879,Ziggs,Crit. damage,175%
1880,Ziggs,Move. speed,325
1881,Ziggs,Attack range,550
1882,Ziggs,Base AS,0.656
1883,Ziggs,Bonus AS,2
1884,Zilean,Health,504 - 1898.0
1885,Zilean,Mana,452 - 1302.0
1886,Zilean,Health regen.,55 - 140.0
1887,Zilean,Mana regen.,11335 - 11471.0
1888,Zilean,Armor,24 - 670.0
1889,Zilean,Attack damage,52 - 103.0
1890,Zilean,Magic resist.,30 - 115.0
1891,Zilean,Crit. damage,175%
1892,Zilean,Move. speed,335
1893,Zilean,Attack range,550
1894,Zilean,Base AS,0.625
1895,Zilean,Bonus AS,213
1896,Zoe,Health,560 - 2124.0
1897,Zoe,Mana,425 - 850.0
1898,Zoe,Health regen.,65 - 167.0
1899,Zoe,Mana regen.,8 - 1113.0
1900,Zoe,Armor,21 - 616.0
1901,Zoe,Attack damage,58 - 619.0
1902,Zoe,Magic resist.,30 - 115.0
1903,Zoe,Crit. damage,175%
1904,Zoe,Move. speed,340
1905,Zoe,Attack range,550
1906,Zoe,Base AS,0.625
1907,Zoe,Bonus AS,25
1908,Zyra,Health,504 - 1847.0
1909,Zyra,Mana,418 - 843.0
1910,Zyra,Health regen.,55 - 140.0
1911,Zyra,Mana regen.,13 - 81.0
1912,Zyra,Armor,29 - 80.0
1913,Zyra,Attack damage,53 - 597.0
1914,Zyra,Magic resist.,30 - 115.0
1915,Zyra,Crit. damage,175%
1916,Zyra,Move. speed,340
1917,Zyra,Attack range,575
1918,Zyra,Base AS,0.625
1919,Zyra,Bonus AS,211
1920,Zyra,Magic damage,2010020100 - 2010020355.0
1921,Zyra,Attack speed,0.8
1922,Zyra,Range,"

575
"
1923,Zyra,Incoming damage modifierSmiteturrets, SmiteSmite
1924,Zyra,Mov. speed,"

Static
"
